,importance
lag_24,0.7222771
lag_48,0.19438122
lag_72,0.026284674
roll_24_max,0.005077948
region_lag24_mean,0.004713216
lag_168,0.0045982543
roll_24_std,0.0016113964
aoi_archetype_mixed,0.0014295361
region_lag168_mean,0.0013988676
day_of_year_sin,0.0013620473
month_sin,0.0013011344
aoi_id_encoded,0.0012963011
dow_sin,0.0012835294
roll_168_std,0.0012708688
roll_72_std,0.0012656186
roll_168_mean,0.0012474282
dow_cos,0.001203031
aoi_archetype_residential_evening,0.0011917423
region_roll24_mean,0.001167675
region_id,0.0011583716
roll_72_mean,0.0011421101
day_of_week,0.001138387
hour_sin,0.0011323427
day_of_year_cos,0.00112914
day_of_year,0.0011149838
